"ID";"Quarter";"AveragePerCapita";"global_id";"WorkingPopulation";"Seniors";"Children";"Resolution";
"1";"2007 год. I квартал ";"5609";"37142103";"6360";"3830";"4780";"от 25.05.2007 № 422-ПП";
"2";"2007 год. II квартал ";"5772";"37142104";"6533";"3967";"4936";"от 31.07.2007 № 631-ПП";
"3";"2007 год. III квартал";"5795";"37142105";"6563";"3983";"4934";"от 27.11.2007 № 1012-ПП";
"4";"2007 год. IV квартал ";"5855";"37142106";"6624";"4038";"4997";"от 26.02.2008 № 132-ПП";
"5";"2008 год. I квартал ";"6441";"37142107";"7288";"4408";"5547";"от 13.05.2008 № 392-ПП";
"6";"2008 год. II квартал ";"6659";"37142108";"7518";"4586";"5773";"от 05.08.2008 № 694-ПП";
"7";"2008 год. III квартал";"6597";"37142109";"7456";"4533";"5698";"от 11.11.2008 № 1021-ПП";
"8";"2008 год. IV квартал ";"6648";"37142110";"7510";"4578";"5747";"от 24.02.2009 № 132-ПП";
"9";"2009 год. I квартал";"7386";"37142111";"8377";"5030";"6307";"от 19.05.2009 № 469-ПП";
"10";"2009 год. II квартал ";"7506";"37142112";"8500";"5136";"6439";"от 18.08.2009 № 798-ПП";
"11";"2009 год. III квартал ";"7493";"37142113";"8492";"5124";"6391";"от 03.11.2009 № 1195-ПП";
"12";"2009 год. IV квартал ";"7406";"37142114";"8398";"5057";"6306";"от 16.02.2010 № 133-ПП";
"13";"2010 год. I квартал ";"8267";"37142115";"9414";"5547";"7006";"от 11.05.2010 № 381-ПП";
"14";"2010 год. II квартал ";"8424";"37142116";"9582";"5677";"7162";"от 10.08.2010 № 682-ПП";
"15";"2010 год. III квартал ";"8448";"37142117";"9608";"5693";"7180";"от 16.11.2010 № 1018-ПП";
"16";"2010 год. IV квартал ";"8656";"37142118";"9825";"5860";"7411";"от 01.03.2011 № 50-ПП";
"17";"2011 год. I квартал ";"9449";"37142119";"10693";"6457";"8145";"от 28.06.2011 № 280-ПП";
"18";"2011 год. II квартал";"9490";"37142120";"10737";"6491";"8180";"от 31.08.2011 № 406-ПП ";
"19";"2011 год. III квартал ";"9188";"37142121";"10417";"6254";"7866";"от 06.12.2011 № 573-ПП";
"20";"2011 год. IV квартал ";"9128";"37142122";"10346";"6213";"7825";"от 20.03.2012 № 94-ПП";
"21";"2012 год. I квартал";"9265";"37142625";"10490";"6326";"7972";"от 05.06.2012 № 258-ПП";
"22";"2012 год. II квартал";"9437";"37142626";"10677";"6466";"8124";"от 22.08.2012 № 421-ПП";
"23";"2012 год. III квартал";"9719";"37142627";"10973";"6721";"8382";"от 04.12.2012 № 695-ПП";
"24";"2012 год. IV квартал";"9747";"37142628";"10998";"6752";"8424";"от 09.02.2013 № 84-ПП";
"25";"2013 год. I квартал";"9850";"37142629";"11249";"6918";"8559";"от 19.06.2013 № 392-ПП";
"26";"2013 год. II квартал";"10874";"37142630";"12169";"8087";"9828";"от 10.10.2013 № 668-ПП";
"27";"2013 год. III квартал";"10632";"37142631";"11913";"7937";"9477";"от 26.11.2013 № 754-ПП";
"28";"2013 год. IV квартал";"10965";"37142632";"12452";"7908";"9498";"от 25.02.2014 № 81-ПП";
"29";"2014 год. I квартал";"11861";"37142633";"13540";"8374";"10265";"от 04.06.2014 № 299-ПП";
"30";"2014 год. II квартал";"12145";"37142634";"13896";"8528";"10443";"от 27.08.2014 № 485-ПП ";
"31";"2014 год. III квартал";"12171";"37142635";"13919";"8646";"10316";"от 02.12.2014 № 713-ПП";
"32";"2014 год. IV квартал";"12542";"37142636";"14330";"8915";"10683";"от 03.03.2015 № 91-ПП";
"33";"2015 год. I квартал";"14300";"37142637";"16296";"10075";"12561";"от 16.06.2015 № 356-ПП";
"34";"2015 год. II квартал";"15141";"62309350";"17296";"10670";"13080";"от 22.09.2015 № 608-ПП";
"35";"2015 год. III квартал";"15141";"62309365";"17296";"10670";"13080";"от 11.12.2015 № 856-ПП";
"36";"2015 год. IV квартал";"14413";"272891238";"16438";"10227";"12437";"от 16.03.2016 № 81-ПП";
"37";"2016 год. I квартал";"15041";"272891239";"17130";"10623";"13198";"от 31.05.2016 № 297-ПП";
"38";"2016 год. II квартал";"15382";"272891240";"17561";"10883";"13259";"от 06.09.2016 № 551-ПП";
"39";"2016 год. III квартал";"15307";"281938236";"17487";"10823";"13159";"от 29.11.2016 № 794-ПП";
"40";"2016 год. IV квартал";"15092";"328188512";"17219";"10715";"12989";"от 07.03.2017 № 88-ПП";
"41";"2017 год. I квартал";"15477";"436520042";"17642";"10965";"13441";"от 13.06.2017 № 355-ПП";
"42";"2017 год. II квартал";"16426";"639259414";"18742";"11603";"14252";"от 12.09.2017 № 663-ПП";
"43";"2017 год. III квартал";"16160";"707524581";"18453";"11420";"13938";"от 05.12.2017 № 952-ПП";
"44";"2017 год. IV квартал";"15397";"858646638";"17560";"10929";"13300";"от 13.03.2018 № 176-ПП";
"45";"2018 год. I квартал";"15786";"864899560";"17990";"11157";"13787";"от 05.06.2018 № 526-ПП";
"46";"2018 год. II квартал";"16463";"889406071";"18781";"11609";"14329";"от 19.09.2018 № 1114-ПП";
"47";"2018 год. III квартал";"16260";"901675201";"18580";"11505";"13938";"от 04.12.2018 № 1465-ПП";
"48";"2018 год. IV квартал";"16087";"913049543";"18376";"11424";"13747";"от 12.03.2019 № 181-ПП";
"49";"2019 год. I квартал";"16957";"930063221";"19351";"12005";"14647";"от 11.06.2019 № 672-ПП";
"50";"2019 год. II квартал";"17679";"1023600741";"20195";"12487";"15225";"от 10.09.2019 № 1177-ПП";
"51";"2019 год. III квартал";"17329";"1023600768";"19797";"12253";"14889";"от 17.12.2019 № 1709-ПП";
"52";"2019 год. IV квартал";"16843";"1034745798";"19233";"11952";"14440";"от 24.03.2020 № 220-ПП";
"53";"2020 год. I квартал";"17129";"1045019178";"19544";"12126";"14812";"от 17.06.2020 № 807-ПП";
